Open time,Open,High,Low,Close
10/14/2018,6332.92,6416,6308,6339.34
10/15/2018,6339.34,7680,6300,6752.5
10/16/2018,6752.5,6900,6670,6759.27
10/17/2018,6762.76,6811.12,6676.01,6740.89
10/18/2018,6739.01,6796,6567,6618.96
10/19/2018,6618.96,6648.14,6523,6528.88
10/20/2018,6528.88,6617.65,6505.55,6588.4
10/21/2018,6585.72,6663.9,6580,6590.11
10/22/2018,6590.12,6639,6535.27,6581.2
10/23/2018,6581.2,6595,6515.45,6553.51
10/24/2018,6553.51,6630,6547.53,6565.5
10/25/2018,6566.81,6575.09,6502.8,6528.09
10/26/2018,6528.13,6600,6515.01,6538.63
10/27/2018,6538.63,6558.35,6463.04,6505.6
10/28/2018,6505.6,6514.17,6453,6489.93
10/29/2018,6489.93,6505.01,6315,6344.5
10/30/2018,6344.5,6395,6317.01,6330.87
10/31/2018,6330.01,6428,6245.02,6371.93
11/1/2018,6369.52,6442.65,6348.66,6410
11/2/2018,6410,6460.34,6388.2,6433.98
11/3/2018,6432.8,6439.97,6345,6387.09
11/4/2018,6388,6525,6359,6485.85
11/5/2018,6485.85,6504.39,6431.02,6468.99
11/6/2018,6468.99,6531.31,6445.18,6519.11
11/7/2018,6522.73,6615.15,6509,6578.46
11/8/2018,6578.46,6594,6468.22,6479.84
11/9/2018,6479.84,6511.53,6391.01,6419.99
11/10/2018,6419.99,6475.55,6411,6433.05
11/11/2018,6435.16,6462.14,6355,6449.81
11/12/2018,6450.71,6497,6421,6453.07
11/13/2018,6451.68,6498,6391.15,6457.66
11/14/2018,6458.98,6482.84,5656.87,5922.41
11/15/2018,5917.2,5939.54,5403.42,5753.4
11/16/2018,5757.09,5782.89,5549.25,5655.94
11/17/2018,5650.57,5656.6,5565.43,5628.29
11/18/2018,5630.49,5738.17,5617,5662
11/19/2018,5661.94,5664,4855,4910.03
11/20/2018,4913.4,5048.24,4326,4558.86
11/21/2018,4559.91,4787.2,4413.85,4661.07
11/22/2018,4661.08,4721.77,4335,4370
11/23/2018,4370.9,4484,4222.94,4420.61
11/24/2018,4415.63,4527,3824.69,3932.44
11/25/2018,3933.68,4233,3652.66,4085.78
11/26/2018,4088.69,4206,3701,3862.2
11/27/2018,3864.45,3940,3689.12,3875.21
11/28/2018,3875.63,4394.47,3874.27,4264.85
11/29/2018,4262.06,4450.38,4125.65,4295.84
11/30/2018,4295.72,4341.36,3943,4041.32
12/1/2018,4041.27,4299.99,3963.01,4190.02
12/2/2018,4190.98,4312.99,4103.04,4161.01
12/3/2018,4160.55,4179,3827,3884.01
12/4/2018,3884.76,4085,3781,3951.64
12/5/2018,3950.98,3970,3745,3769.84
12/6/2018,3768.44,3899.99,3500,3508.75
12/7/2018,3508.75,3549.99,3224.6,3403.55
12/8/2018,3403.57,3495,3222,3410.93
12/9/2018,3411.36,3658,3394.04,3545.37
12/10/2018,3548.49,3610,3370.11,3432.88
12/11/2018,3434.01,3480,3324.32,3380.39
12/12/2018,3379.23,3492,3350,3445
12/13/2018,3446.38,3460,3255.5,3302.06
12/14/2018,3302.06,3335.39,3177,3224.17
12/15/2018,3225.19,3276.5,3156.26,3211.72
12/16/2018,3211.71,3294,3186,3228.67
12/17/2018,3229.22,3585,3216,3509.08
12/18/2018,3509.03,3678.59,3424.47,3652.98
12/19/2018,3653,3912.73,3622.55,3662.22
12/20/2018,3660.01,4120,3635,4049.62
12/21/2018,4051.86,4139.99,3764,3838.66
12/22/2018,3840.25,3979,3785,3948.91
12/23/2018,3948.91,4021.53,3870,3929.71
12/24/2018,3929.71,4198,3924.83,4008.01
12/25/2018,4010.11,4020,3646.41,3745.79
12/26/2018,3745.56,3837.15,3656.74,3777.74
12/27/2018,3777.74,3813.98,3535,3567.91
12/28/2018,3567.89,3887.25,3540.04,3839.26
12/29/2018,3839,3892,3670,3695.32
12/30/2018,3696.71,3903.5,3657.9,3801.91
12/31/2018,3803.12,3810,3630.33,3702.9
1/1/2019,3701.23,3810.16,3642,3797.14
1/2/2019,3796.45,3882.14,3750.45,3858.56
1/3/2019,3857.57,3862.74,3730,3766.78
1/4/2019,3767.2,3823.64,3703.57,3792.01
1/5/2019,3790.09,3840.99,3751,3770.96
1/6/2019,3771.12,4027.71,3740,3987.6
1/7/2019,3987.62,4017.9,3921.53,3975.45
1/8/2019,3976.76,4069.8,3903,3955.13
1/9/2019,3955.45,4006.81,3930.04,3966.65
1/10/2019,3966.06,3996.01,3540,3585.88
1/11/2019,3585.88,3658,3465,3601.31
1/12/2019,3601.31,3618.19,3530,3583.13
1/13/2019,3584.1,3611.1,3441.3,3476.81
1/14/2019,3477.56,3671.87,3467.02,3626.09
1/15/2019,3626.08,3648.42,3516.62,3553.06
1/16/2019,3553.06,3645,3543.51,3591.84
1/17/2019,3591.84,3634.7,3530.39,3616.21
1/18/2019,3613.32,3620,3565.75,3594.87
1/19/2019,3594.87,3720,3594.23,3665.3
1/20/2019,3665.75,3693.73,3475,3539.28
1/21/2019,3539.26,3559.51,3475.5,3526.9
1/22/2019,3526.88,3608.5,3434.85,3570.93
1/23/2019,3570.41,3607.98,3514.5,3552.82
1/24/2019,3552.97,3589,3529.22,3569.62
1/25/2019,3569.07,3587.15,3522.51,3565.29
1/26/2019,3566.69,3662.94,3545,3565.25
1/27/2019,3565.62,3579,3486,3550.84
1/28/2019,3550.05,3557.75,3380.27,3434.15
1/29/2019,3434,3443.45,3349.92,3411.04
1/30/2019,3410.04,3478,3387.1,3458.18
1/31/2019,3457.5,3489.2,3418.8,3434.1
2/1/2019,3434.1,3488,3401.2,3462.07
2/2/2019,3462.2,3526.4,3440.29,3504.77
2/3/2019,3504.06,3511.09,3426,3458.11
2/4/2019,3458.11,3484.88,3433.31,3463.22
2/5/2019,3463.22,3478.97,3448.43,3471.59
2/6/2019,3471.57,3482.72,3380,3405.37
2/7/2019,3407,3426.45,3390,3398.4
2/8/2019,3398.4,3733.58,3373.1,3659.04
2/9/2019,3660.27,3680.02,3625.13,3665.18
2/10/2019,3665.18,3684.99,3609.76,3680.06
2/11/2019,3679.75,3684.9,3615.53,3631.05
2/12/2019,3631.05,3667.6,3582.34,3631.46
2/13/2019,3631.51,3670,3591.75,3609.4
2/14/2019,3608.34,3626.4,3568.11,3590.56
2/15/2019,3590.57,3653.23,3573.45,3602.47
2/16/2019,3602.49,3648.2,3597.91,3618.41
2/17/2019,3617.22,3700.11,3604.4,3667.58
2/18/2019,3667.62,3925,3655,3898.6
2/19/2019,3897.35,3994.52,3856,3907.79
2/20/2019,3907.35,3986.98,3870.66,3969.74
2/21/2019,3969.74,4016.48,3901.03,3937.31
2/22/2019,3937.31,3988,3926.65,3962
2/23/2019,3962,4162.02,3933.15,4117.76
2/24/2019,4118,4198,3712.66,3743.56
2/25/2019,3743.56,3872.66,3740,3827.92
2/26/2019,3828.44,3841.51,3777,3809.23
2/27/2019,3809.31,3838.85,3677.17,3818.07
2/28/2019,3818.04,3888,3763.87,3813.69
3/1/2019,3814.26,3857,3813.01,3823
3/2/2019,3822.17,3841.31,3772.25,3819.93
3/3/2019,3819.97,3835,3781.32,3807.75
3/4/2019,3807.32,3830,3670.69,3715.3
3/5/2019,3716.1,3877.1,3703.55,3857.73
3/6/2019,3857.58,3907,3813.09,3861.84
3/7/2019,3861.84,3905.4,3840.4,3873.64
3/8/2019,3873.63,3932,3800,3864.89
3/9/2019,3864.88,3971.75,3854.75,3943.04
3/10/2019,3943.43,3943.43,3881.69,3916.82
3/11/2019,3915.99,3936.98,3830,3871.61
3/12/2019,3871.61,3905.2,3826.06,3882.73
3/13/2019,3882.69,3893.56,3840,3866
3/14/2019,3866,3920,3810.43,3877.12
3/15/2019,3877.12,3939.22,3872.2,3923.76
3/16/2019,3924.46,4056.98,3921.98,4005.98
3/17/2019,4005.98,4012,3950.01,3981.14
3/18/2019,3981.85,4037,3953.33,3987.81
3/19/2019,3987.83,4031,3970,4015.53
3/20/2019,4017.48,4050,3980.5,4043.04
3/21/2019,4043.04,4069.32,3880.01,3980.64
3/22/2019,3980.85,4008,3968.25,3986.93
3/23/2019,3987.89,4018.83,3978.01,4006.01
3/24/2019,4006.01,4006.02,3950,3992.18
3/25/2019,3991.35,3999.3,3888.71,3936.12
3/26/2019,3935.47,3958.98,3894,3948.55
3/27/2019,3948.77,4048,3936.15,4038.05
3/28/2019,4039.58,4039.7,4002,4027.81
3/29/2019,4028.22,4123.71,4024.03,4103.25
3/30/2019,4104.24,4140,4052,4106.97
3/31/2019,4106.99,4116.12,4082.57,4103.95
4/1/2019,4102.44,4158.7,4067,4144.56
4/2/2019,4144.54,4897.99,4140.54,4857.29
4/3/2019,4857.19,5275.01,4753.5,4932.6
4/4/2019,4932.59,5039.08,4777,4898.66
4/5/2019,4898.64,5028.22,4880.62,5004.95
4/6/2019,5004.96,5205,4928.59,5043.89
4/7/2019,5042.07,5234,5026,5170.27
4/8/2019,5170.27,5305,5039,5236.9
4/9/2019,5238.38,5238.4,5076.68,5150
4/10/2019,5150,5422,5135,5308.25
4/11/2019,5307.86,5332.67,4927,5017.37
4/12/2019,5017.37,5080.58,4861.22,5048.01
4/13/2019,5047,5099,5004,5045.22
4/14/2019,5047.45,5152.99,5000,5131.3
4/15/2019,5131.28,5167.38,4950,5024.95
4/16/2019,5024.95,5197.72,5003.94,5173.72
4/17/2019,5173.72,5230.4,5146.8,5202.82
4/18/2019,5202.41,5287,5198.8,5258.44
4/19/2019,5258.44,5320,5175,5258.68
4/20/2019,5258.68,5333.42,5230.1,5291.73
4/21/2019,5292.91,5314.35,5165,5256.14
4/22/2019,5257.41,5400,5208.35,5357.14
4/23/2019,5357.14,5600,5332.41,5493.31
4/24/2019,5490.91,5582.2,5333.35,5415
4/25/2019,5415,5491.84,5102,5219.9
4/26/2019,5220.47,5510,5161.62,5314.1
4/27/2019,5315,5342.5,5257.67,5295.69
4/28/2019,5295.69,5340,5259.48,5307.52
4/29/2019,5309.81,5332,5178.8,5238.14
